Clip,Start,End
651,1,26622
NaN,26623,47999
787,48000,65775
NaN,65776,95999
611,96000,121072
NaN,121073,143999
709,144000,163213
NaN,163214,191999
840,192000,216676
NaN,216677,239999
795,240000,258008
NaN,258009,287999
690,288000,311203
NaN,311204,335999
625,336000,353459
NaN,353460,383999
791,384000,403945
NaN,403946,431999
869,432000,451684
NaN,451685,479999
