Clip,Start,End
250,1,27970
NaN,27971,47999
203,48000,67971
NaN,67972,95999
69,96000,122648
NaN,122649,143999
191,144000,163579
NaN,163580,191999
86,192000,217947
NaN,217948,239999
63,240000,258808
NaN,258809,287999
35,288000,312058
NaN,312059,335999
214,336000,354428
NaN,354429,383999
99,384000,406428
NaN,406429,431999
202,432000,449009
NaN,449010,479999
