Clip,Start,End
1025,1,27303
NaN,27304,47999
1110,48000,70899
NaN,70900,95999
990,96000,122411
NaN,122412,143999
963,144000,166008
NaN,166009,191999
974,192000,218284
NaN,218285,239999
1170,240000,261749
NaN,261750,287999
1069,288000,313501
NaN,313502,335999
981,336000,356092
NaN,356093,383999
930,384000,408701
NaN,408702,431999
964,432000,450088
NaN,450089,479999
