Clip,Start,End
842,1,27709
NaN,27710,47999
604,48000,67933
NaN,67934,95999
744,96000,123499
NaN,123500,143999
818,144000,162925
NaN,162926,191999
835,192000,218375
NaN,218376,239999
783,240000,257147
NaN,257148,287999
836,288000,312049
NaN,312050,335999
710,336000,351196
NaN,351197,383999
750,384000,407701
NaN,407702,431999
644,432000,445886
NaN,445887,479999
