Clip,Start,End
338,1,28340
NaN,28341,47999
499,48000,70654
NaN,70655,95999
440,96000,122453
NaN,122454,143999
482,144000,166088
NaN,166089,191999
458,192000,216127
NaN,216128,239999
477,240000,261722
NaN,261723,287999
414,288000,311971
NaN,311972,335999
344,336000,354741
NaN,354742,383999
301,384000,407154
NaN,407155,431999
585,432000,444208
NaN,444209,479999
