Clip,Start,End
292,1,26246
NaN,26247,47999
53,48000,68305
NaN,68306,95999
241,96000,120232
NaN,120233,143999
3,144000,163699
NaN,163700,191999
121,192000,215787
NaN,215788,239999
47,240000,258384
NaN,258385,287999
145,288000,311396
NaN,311397,335999
211,336000,350475
NaN,350476,383999
297,384000,406951
NaN,406952,431999
201,432000,442433
NaN,442434,479999
