Clip,Start,End
318,1,39715
NaN,39716,47999
333,48000,71936
NaN,71937,95999
444,96000,125486
NaN,125487,143999
394,144000,165748
NaN,165749,191999
533,192000,219535
NaN,219536,239999
425,240000,261696
NaN,261697,287999
383,288000,315511
NaN,315512,335999
361,336000,356219
NaN,356220,383999
596,384000,411264
NaN,411265,431999
587,432000,452169
NaN,452170,479999
