Clip,Start,End
379,1,28757
NaN,28758,47999
478,48000,69928
NaN,69929,95999
358,96000,121806
NaN,121807,143999
576,144000,164621
NaN,164622,191999
455,192000,217670
NaN,217671,239999
529,240000,259997
NaN,259998,287999
436,288000,313181
NaN,313182,335999
501,336000,355780
NaN,355781,383999
340,384000,406677
NaN,406678,431999
348,432000,449750
NaN,449751,479999
