Clip,Start,End
824,1,25435
NaN,25436,47999
603,48000,65619
NaN,65620,95999
652,96000,120263
NaN,120264,143999
876,144000,160893
NaN,160894,191999
821,192000,212680
NaN,212681,239999
661,240000,256866
NaN,256867,287999
845,288000,307661
NaN,307662,335999
696,336000,352633
NaN,352634,383999
643,384000,403248
NaN,403249,431999
834,432000,446923
NaN,446924,479999
