Clip,Start,End
138,1,30820
NaN,30821,47999
298,48000,70690
NaN,70691,95999
68,96000,122777
NaN,122778,143999
137,144000,166690
NaN,166691,191999
86,192000,217947
NaN,217948,239999
162,240000,262213
NaN,262214,287999
92,288000,312568
NaN,312569,335999
49,336000,352820
NaN,352821,383999
278,384000,407491
NaN,407492,431999
93,432000,454474
NaN,454475,479999
