Clip,Start,End
69,1,26649
NaN,26650,47999
25,48000,70257
NaN,70258,95999
128,96000,121745
NaN,121746,143999
193,144000,165330
NaN,165331,191999
223,192000,217068
NaN,217069,239999
26,240000,261260
NaN,261261,287999
6,288000,312636
NaN,312637,335999
161,336000,356860
NaN,356861,383999
130,384000,407395
NaN,407396,431999
59,432000,452323
NaN,452324,479999
