Clip,Start,End
918,1,32932
NaN,32933,47999
943,48000,71124
NaN,71125,95999
908,96000,125942
NaN,125943,143999
1073,144000,167061
NaN,167062,191999
1046,192000,218198
NaN,218199,239999
948,240000,260637
NaN,260638,287999
957,288000,313092
NaN,313093,335999
995,336000,356017
NaN,356018,383999
1041,384000,407500
NaN,407501,431999
1182,432000,451161
NaN,451162,479999
