Clip,Start,End
689,1,26096
NaN,26097,47999
871,48000,68052
NaN,68053,95999
618,96000,120480
NaN,120481,143999
786,144000,163681
NaN,163682,191999
654,192000,214834
NaN,214835,239999
815,240000,259680
NaN,259681,287999
608,288000,310688
NaN,310689,335999
803,336000,354007
NaN,354008,383999
636,384000,405438
NaN,405439,431999
784,432000,449241
NaN,449242,479999
