Clip,Start,End
1128,1,29016
NaN,29017,47999
1122,48000,71614
NaN,71615,95999
1112,96000,123360
NaN,123361,143999
1012,144000,166655
NaN,166656,191999
1037,192000,218256
NaN,218257,239999
1168,240000,261252
NaN,261253,287999
1033,288000,314062
NaN,314063,335999
1129,336000,356834
NaN,356835,383999
906,384000,408029
NaN,408030,431999
1064,432000,452825
NaN,452826,479999
