Clip,Start,End
578,1,27465
NaN,27466,47999
402,48000,71805
NaN,71806,95999
571,96000,122605
NaN,122606,143999
430,144000,167160
NaN,167161,191999
356,192000,218325
NaN,218326,239999
525,240000,261199
NaN,261200,287999
512,288000,314140
NaN,314141,335999
321,336000,356595
NaN,356596,383999
536,384000,409016
NaN,409017,431999
303,432000,452050
NaN,452051,479999
