Clip,Start,End
415,1,29661
NaN,29662,47999
559,48000,70509
NaN,70510,95999
369,96000,124583
NaN,124584,143999
478,144000,165928
NaN,165929,191999
524,192000,218140
NaN,218141,239999
425,240000,261696
NaN,261697,287999
449,288000,312546
NaN,312547,335999
583,336000,356076
NaN,356077,383999
504,384000,407235
NaN,407236,431999
360,432000,451614
NaN,451615,479999
