Clip,Start,End
1035,1,28128
NaN,28129,47999
1052,48000,73559
NaN,73560,95999
1068,96000,123256
NaN,123257,143999
1181,144000,167108
NaN,167109,191999
961,192000,219036
NaN,219037,239999
958,240000,262765
NaN,262766,287999
1021,288000,314088
NaN,314089,335999
1168,336000,357252
NaN,357253,383999
1145,384000,409763
NaN,409764,431999
1184,432000,452477
NaN,452478,479999
