Clip,Start,End
918,1,32932
NaN,32933,47999
979,48000,72424
NaN,72425,95999
985,96000,123718
NaN,123719,143999
1030,144000,168310
NaN,168311,191999
1160,192000,218896
NaN,218897,239999
1156,240000,263578
NaN,263579,287999
972,288000,313948
NaN,313949,335999
1187,336000,359206
NaN,359207,383999
901,384000,409195
NaN,409196,431999
1102,432000,454167
NaN,454168,479999
