Clip,Start,End
34,1,31037
NaN,31038,47999
170,48000,71258
NaN,71259,95999
146,96000,124742
NaN,124743,143999
190,144000,167091
NaN,167092,191999
92,192000,216568
NaN,216569,239999
175,240000,262533
NaN,262534,287999
112,288000,312153
NaN,312154,335999
91,336000,357918
NaN,357919,383999
152,384000,408119
NaN,408120,431999
119,432000,451840
NaN,451841,479999
