Clip,Start,End
949,1,28463
NaN,28464,47999
943,48000,71124
NaN,71125,95999
970,96000,123217
NaN,123218,143999
1101,144000,167108
NaN,167109,191999
931,192000,218242
NaN,218243,239999
1179,240000,262428
NaN,262429,287999
1065,288000,313181
NaN,313182,335999
984,336000,358189
NaN,358190,383999
1023,384000,408415
NaN,408416,431999
1009,432000,453289
NaN,453290,479999
