Clip,Start,End
231,1,27317
NaN,27318,47999
142,48000,71970
NaN,71971,95999
209,96000,122674
NaN,122675,143999
256,144000,164572
NaN,164573,191999
106,192000,217617
NaN,217618,239999
210,240000,260807
NaN,260808,287999
233,288000,313408
NaN,313409,335999
286,336000,355378
NaN,355379,383999
79,384000,408159
NaN,408160,431999
287,432000,448991
NaN,448992,479999
