Clip,Start,End
651,1,26622
NaN,26623,47999
774,48000,71027
NaN,71028,95999
677,96000,121507
NaN,121508,143999
656,144000,166396
NaN,166397,191999
878,192000,217147
NaN,217148,239999
698,240000,260377
NaN,260378,287999
895,288000,312519
NaN,312520,335999
711,336000,351109
NaN,351110,383999
809,384000,408119
NaN,408120,431999
659,432000,447023
NaN,447024,479999
