Clip,Start,End
350,1,27996
NaN,27997,47999
574,48000,70481
NaN,70482,95999
437,96000,122634
NaN,122635,143999
473,144000,164912
NaN,164913,191999
367,192000,217144
NaN,217145,239999
434,240000,261232
NaN,261233,287999
314,288000,313104
NaN,313105,335999
410,336000,356505
NaN,356506,383999
570,384000,407291
NaN,407292,431999
510,432000,452772
NaN,452773,479999
