Clip,Start,End
1148,1,32792
NaN,32793,47999
1045,48000,72833
NaN,72834,95999
1108,96000,124301
NaN,124302,143999
1178,144000,168049
NaN,168050,191999
1192,192000,220196
NaN,220197,239999
1104,240000,263979
NaN,263980,287999
1195,288000,314517
NaN,314518,335999
927,336000,359939
NaN,359940,383999
1079,384000,408862
NaN,408863,431999
1176,432000,449958
NaN,449959,479999
